ObjectID,Label,Timestamp,x_center,y_center,area
0,customer,1735649278,716,762,Service area
1,customer,1735649278,326,807,Service area
0,employee,1735649278,416,486,Service area
2,customer,1735649278,126,702,Service area
1,employee,1735649278,747,435,Service area
3,customer,1735649278,306,197,Service area
0,customer,1735649278,715,762,Service area
1,customer,1735649278,327,807,Service area
0,employee,1735649278,423,487,Service area
2,customer,1735649278,126,702,Service area
1,employee,1735649278,747,436,Service area
3,customer,1735649278,308,197,Service area
0,customer,1735649278,717,763,Service area
1,customer,1735649278,325,807,Service area
2,customer,1735649278,125,702,Service area
1,employee,1735649278,747,434,Service area
0,employee,1735649278,428,485,Service area
3,customer,1735649279,306,197,Service area
4,customer,1735649279,107,497,Service area
0,customer,1735649279,717,764,Service area
1,customer,1735649279,326,806,Service area
0,employee,1735649279,441,487,Service area
1,employee,1735649279,747,434,Service area
2,customer,1735649279,125,702,Service area
3,customer,1735649279,305,198,Service area
4,customer,1735649279,107,502,Service area
1,customer,1735649279,327,805,Service area
0,customer,1735649279,717,764,Service area
0,employee,1735649279,446,487,Service area
2,customer,1735649279,125,702,Service area
1,employee,1735649279,748,435,Service area
3,customer,1735649279,305,198,Service area
4,customer,1735649279,108,497,Service area
1,customer,1735649279,326,804,Service area
0,customer,1735649279,716,764,Service area
2,customer,1735649279,125,702,Service area
0,employee,1735649279,449,485,Service area
1,employee,1735649279,747,435,Service area
3,customer,1735649279,306,200,Service area
4,customer,1735649279,112,498,Service area
0,customer,1735649279,716,764,Service area
1,customer,1735649279,326,803,Service area
2,customer,1735649279,125,702,Service area
1,employee,1735649279,747,435,Service area
0,employee,1735649279,454,486,Service area
3,customer,1735649279,304,202,Service area
4,customer,1735649279,107,497,Service area
0,customer,1735649279,716,765,Service area
1,customer,1735649280,326,802,Service area
2,customer,1735649280,124,702,Service area
0,employee,1735649280,446,484,Service area
1,employee,1735649280,746,436,Service area
3,customer,1735649280,304,202,Service area
4,customer,1735649280,115,492,Service area
0,customer,1735649280,716,765,Service area
1,customer,1735649280,325,802,Service area
2,customer,1735649280,124,702,Service area
0,employee,1735649280,447,484,Service area
3,customer,1735649280,306,203,Service area
1,employee,1735649280,745,438,Service area
4,customer,1735649280,108,493,Service area
0,customer,1735649280,717,765,Service area
1,customer,1735649280,325,802,Service area
2,customer,1735649280,124,702,Service area
1,employee,1735649280,746,437,Service area
0,employee,1735649280,451,483,Service area
3,customer,1735649280,307,203,Service area
4,customer,1735649280,105,492,Service area
0,customer,1735649280,718,765,Service area
1,customer,1735649280,324,802,Service area
2,customer,1735649280,124,702,Service area
1,employee,1735649280,745,435,Service area
0,employee,1735649280,463,482,Service area
3,customer,1735649280,309,204,Service area
4,customer,1735649280,111,494,Service area
0,customer,1735649280,718,765,Service area
1,customer,1735649280,325,801,Service area
1,employee,1735649280,746,435,Service area
2,customer,1735649280,123,700,Service area
0,employee,1735649280,443,481,Service area
3,customer,1735649280,309,204,Service area
4,customer,1735649281,122,492,Service area
0,customer,1735649281,718,766,Service area
1,customer,1735649281,325,801,Service area
1,employee,1735649281,746,435,Service area
2,customer,1735649281,119,691,Service area
0,employee,1735649281,444,480,Service area
3,customer,1735649281,309,204,Service area
4,customer,1735649281,114,491,Service area
0,customer,1735649281,719,765,Service area
1,customer,1735649281,326,801,Service area
1,employee,1735649281,746,436,Service area
2,customer,1735649281,120,691,Service area
0,employee,1735649281,445,480,Service area
3,customer,1735649281,309,204,Service area
4,customer,1735649281,118,489,Service area
0,customer,1735649281,720,765,Service area
1,customer,1735649281,326,801,Service area
1,employee,1735649281,748,436,Service area
2,customer,1735649281,121,692,Service area
0,employee,1735649281,446,479,Service area
3,customer,1735649281,310,205,Service area
4,customer,1735649281,115,489,Service area
0,customer,1735649281,720,766,Service area
1,customer,1735649281,325,801,Service area
1,employee,1735649281,750,436,Service area
2,customer,1735649281,122,695,Service area
0,employee,1735649281,462,481,Service area
3,customer,1735649281,310,207,Service area
4,customer,1735649281,118,489,Service area
0,customer,1735649281,720,766,Service area
1,customer,1735649281,324,802,Service area
2,customer,1735649282,124,699,Service area
1,employee,1735649282,750,437,Service area
0,employee,1735649282,460,480,Service area
4,customer,1735649282,115,489,Service area
3,customer,1735649282,310,210,Service area
0,customer,1735649282,719,765,Service area
1,customer,1735649282,325,801,Service area
2,customer,1735649282,125,700,Service area
1,employee,1735649282,750,437,Service area
0,employee,1735649282,455,479,Service area
3,customer,1735649282,310,208,Service area
4,customer,1735649282,116,489,Service area
0,customer,1735649282,719,766,Service area
1,customer,1735649282,325,801,Service area
1,employee,1735649282,750,436,Service area
2,customer,1735649282,125,700,Service area
0,employee,1735649282,458,480,Service area
4,customer,1735649282,117,491,Service area
3,customer,1735649282,310,210,Service area
0,customer,1735649282,718,767,Service area
1,customer,1735649282,325,801,Service area
2,customer,1735649282,125,701,Service area
1,employee,1735649282,750,437,Service area
0,employee,1735649282,458,483,Service area
3,customer,1735649282,309,211,Service area
4,customer,1735649282,124,491,Service area
0,customer,1735649282,718,768,Service area
1,customer,1735649282,323,801,Service area
2,customer,1735649282,125,701,Service area
1,employee,1735649282,750,437,Service area
0,employee,1735649282,445,481,Service area
4,customer,1735649282,126,492,Service area
3,customer,1735649282,309,212,Service area
0,customer,1735649283,717,768,Service area
1,customer,1735649283,323,800,Service area
2,customer,1735649283,125,700,Service area
1,employee,1735649283,749,436,Service area
0,employee,1735649283,446,482,Service area
4,customer,1735649283,131,495,Service area
3,customer,1735649283,308,212,Service area
0,customer,1735649283,716,768,Service area
1,customer,1735649283,326,799,Service area
1,employee,1735649283,748,437,Service area
2,customer,1735649283,125,701,Service area
0,employee,1735649283,446,482,Service area
4,customer,1735649283,133,494,Service area
3,customer,1735649283,310,211,Service area
0,customer,1735649283,715,768,Service area
1,customer,1735649283,325,799,Service area
1,employee,1735649283,748,436,Service area
2,customer,1735649283,125,701,Service area
4,customer,1735649283,134,494,Service area
0,employee,1735649283,445,481,Service area
3,customer,1735649283,308,213,Service area
0,customer,1735649283,714,768,Service area
1,customer,1735649283,324,799,Service area
2,customer,1735649283,125,701,Service area
1,employee,1735649283,747,436,Service area
4,customer,1735649283,137,495,Service area
0,employee,1735649283,450,481,Service area
3,customer,1735649283,307,215,Service area
0,customer,1735649283,713,769,Service area
1,customer,1735649283,323,797,Service area
2,customer,1735649283,125,702,Service area
1,employee,1735649283,745,435,Service area
4,customer,1735649283,138,494,Service area
0,employee,1735649284,446,482,Service area
3,customer,1735649284,306,218,Service area
0,customer,1735649284,712,768,Service area
1,customer,1735649284,322,799,Service area
2,customer,1735649284,126,701,Service area
1,employee,1735649284,744,434,Service area
4,customer,1735649284,143,495,Service area
0,employee,1735649284,446,482,Service area
3,customer,1735649284,305,220,Service area
0,customer,1735649284,711,768,Service area
1,customer,1735649284,318,797,Service area
1,employee,1735649284,742,434,Service area
2,customer,1735649284,126,701,Service area
0,employee,1735649284,445,481,Service area
4,customer,1735649284,145,495,Service area
3,customer,1735649284,304,222,Service area
0,customer,1735649284,709,768,Service area
1,customer,1735649284,319,798,Service area
1,employee,1735649284,742,434,Service area
2,customer,1735649284,126,701,Service area
0,employee,1735649284,445,480,Service area
4,customer,1735649284,146,494,Service area
3,customer,1735649284,304,222,Service area
0,customer,1735649284,706,767,Service area
1,customer,1735649284,320,797,Service area
1,employee,1735649284,741,434,Service area
2,customer,1735649284,126,702,Service area
0,employee,1735649284,444,479,Service area
4,customer,1735649284,148,496,Service area
